Year of release,Aired On,Number of Episodes,Duration,Content Rating,Rating,Screenwriter,Rank,Genre_Main,Cast_Main
2021,Friday,10,52 min.,18+ Restricted (violence & profanity),9.2,Yoon Ji Ryun,#1,Life,Lee Je Hoon
2020," Wednesday, Thursday",16,1 hr. 10 min.,15+ - Teens 15 or older,9.1,Yoo Jung Hee,#2,Thriller,Lee Joon Gi
2020,Thursday,12,1 hr. 30 min.,15+ - Teens 15 or older,9.1,Lee Woo Jung,#3,Friendship,Jo Jung Suk
2021,Thursday,12,1 hr. 40 min.,15+ - Teens 15 or older,9.1,Lee Woo Jung,#4,Friendship,Jo Jung Suk
2018," Wednesday, Thursday",16,1 hr. 17 min.,15+ - Teens 15 or older,9.1,Park Hae Young,#5,Psychological,Lee Sun Kyun
2015," Friday, Saturday",20,1 hr. 40 min.,15+ - Teens 15 or older,9.1,Lee Woo Jung,#6,Comedy,Lee Hye Ri
2022,Friday,8,40 min.,18+ Restricted (violence & profanity),9.1,Jun Hee Han,#7,Action,Park Ji Hoon
2017," Wednesday, Thursday",16,1 hr. 32 min.,15+ - Teens 15 or older,9.1,"Jung Bo Hoon, Lee Woo Jung",#8,Comedy,Park Hae Soo
2022,"Saturday, Sunday",20,1 hr. 20 min.,15+ - Teens 15 or older,9.0,"Hong Jung Eun, Hong Mi Ran",#9,Action,Lee Jae Wook
2022,"Wednesday, Thursday",16,1 hr. 17 min.,15+ - Teens 15 or older,9.0,Moon Ji Won,#10,Law,Park Eun Bin
2020," Saturday, Sunday",20,1 hr. 20 min.,15+ - Teens 15 or older,9.0,"Park Kye Ok, Choi Ah Il",#11,Historical,Shin Hye Sun
2018," Wednesday, Thursday",16,1 hr. 3 min.,15+ - Teens 15 or older,9.0,Jung Seo Kyung,#12,Thriller,Lee Bo Young
2020," Saturday, Sunday",16,1 hr. 15 min.,15+ - Teens 15 or older,9.0,Jo Yong,#13,Psychological,Kim Soo Hyun
2019," Sunday, Saturday",16,1 hr. 25 min.,15+ - Teens 15 or older,9.0,Park Ji Eun,#14,Military,Hyun Bin
2021," Saturday, Sunday",20,1 hr. 25 min.,15+ - Teens 15 or older,9.0,Park Jae Bum,#15,Comedy,Song Joong Ki
2021," Monday, Tuesday",12,1 hr. 5 min.,15+ - Teens 15 or older,9.0,Lee Eun Mi,#16,Friendship,Park In Hwan
2016," Friday, Saturday",16,1 hr. 15 min.,15+ - Teens 15 or older,9.0,Kim Eun Hee,#17,Thriller,Lee Je Hoon
2018," Saturday, Sunday",24,1 hr. 20 min.,15+ - Teens 15 or older,8.9,Kim Eun Sook,#18,Military,Lee Byung Hun
2021," Friday, Saturday",12,1 hr. 5 min.,15+ - Teens 15 or older,8.9,Han Sang Woon,#19,Action,Han Hyo Joo
2020,Friday,6,45 min.,18+ Restricted (violence & profanity),8.9,Kim Eun Hee,#20,Thriller,Joo Ji Hoon
2018," Friday, Saturday",20,1 hr. 15 min.,15+ - Teens 15 or older,8.9,Yoo Hyun Mi,#21,Mystery,Yeom Jung Ah
2022,"Friday, Saturday",16,60 min.,15+ - Teens 15 or older,8.9,"Park Ran, Park Ja Kyung, Kim Yu Jin",#22,Action,Kim Hee Sun
2014," Monday, Tuesday",20,60 min.,15+ - Teens 15 or older,8.9,Song Ji Na,#23,Action,Ji Chang Wook
2017," Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.9,Lee Soo Yeon,#24,Thriller,Jo Seung Woo
2022,"Saturday, Sunday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.8,Kwon Do Eun,#25,Romance,Kim Tae Ri
2021,"Friday, Saturday",17,1 hr. 20 min.,15+ - Teens 15 or older,8.8,Jung Hae Ri,#26,Historical,Lee Jun Ho
2016," Friday, Saturday",16,1 hr. 22 min.,15+ - Teens 15 or older,8.8,Kim Eun Sook,#27,Comedy,Gong Yoo
2020," Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.8,"Yoo Seon Dong, Kim Sae Bom, Yeo Ji Na",#28,Action,Cho Byeong Kyu
2021," Wednesday, Thursday",20,1 hr. 15 min.,18+ Restricted (violence & profanity),8.7,Choi Ran,#29,Thriller,Lee Seung Gi
2019,Friday,6,51 min.,18+ Restricted (violence & profanity),8.8,Kim Eun Hee,#30,Thriller,Joo Ji Hoon
2016," Wednesday, Thursday",16,60 min.,15+ - Teens 15 or older,8.8,"Yang Hee Seung, Kim Soo Jin",#31,Comedy,Lee Sung Kyung
2021,Friday,6,50 min.,15+ - Teens 15 or older,8.8,Kim Bo Tong,#32,Action,Jung Hae In
2021," Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.8,Moon Yoo Seok,#33,Mystery,Ji Sung
2020," Monday, Tuesday",21,1 hr. 25 min.,15+ - Teens 15 or older,8.8,Kim Soon Ok,#34,Thriller,Lee Ji Ah
2021," Monday, Tuesday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.8,Lee Kang,#35,Historical,Lee Do Hyun
2021," Friday, Saturday",16,1 hr. 5 min.,18+ Restricted (violence & profanity),8.8,"Oh Sang Ho, Lee Ji Hyun",#36,Action,Lee Je Hoon
2018," Saturday, Sunday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.8,Lee Dae II,#37,Action,Jung Kyung Ho
2021," Friday, Saturday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.8,Kim Soo Jin,#38,Thriller,Shin Ha Kyun
2021," Monday, Tuesday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.8,Jung Bo Hoon,#39,Friendship,Kim Sang Kyung
2021," Saturday, Sunday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.8,Shin Ha Eun,#40,Comedy,Shin Min Ah
2015," Monday, Tuesday",50,60 min.,15+ - Teens 15 or older,8.8,"Kim Young Hyun, Park Sang Yeon",#41,Action,Yoo Ah In
